Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2022,1,1,0,30,0,0,0,14.1,14.4,979,97.78,235,4.5,0.15
2022,1,1,1,30,0,0,0,14.2,14.6,979,97.39,238,4.9,0.15
2022,1,1,2,30,0,0,0,14.1,14.4,980,97.87,241,4.6,0.15
2022,1,1,3,30,0,0,0,13.4,13.4,979,99.8,240,3.2,0.15
2022,1,1,4,30,0,0,0,12.1,12.1,978,100,240,1.9,0.15
2022,1,1,5,30,0,0,0,11.5,11.5,979,100,240,1.9,0.15
2022,1,1,6,30,0,0,0,11.4,11.4,980,100,240,2.1,0.15
2022,1,1,7,30,0,0,0,11.2,11.2,980,100,244,2,0.15
2022,1,1,8,30,0,7,7,11.2,11.4,980,98.92,258,1.9,0.15
2022,1,1,9,30,0,5,5,11.2,11.7,980,96.48,278,1.8,0.15
2022,1,1,10,30,0,11,11,11.2,11.9,980,95.64,289,1.9,0.15
2022,1,1,11,30,0,28,28,11.1,12,979,94.13,286,1.6,0.15
2022,1,1,12,30,0,17,17,11.2,12,979,94.61,300,1.6,0.15
2022,1,1,13,30,0,25,25,11.1,11.7,978,96.04,160,2.1,0.15
2022,1,1,14,30,0,36,36,10.5,11,977,97.03,7,2.7,0.15
2022,1,1,15,30,0,18,18,9.8,9.8,977,99.68,14,3.7,0.15
2022,1,1,16,30,1,18,18,8.2,8.4,978,98.99,26,4.2,0.15
2022,1,1,17,30,0,0,0,6.7,7.1,978,97.35,42,4,0.15
2022,1,1,18,30,0,0,0,5.5,6.1,978,95.66,56,4,0.15
2022,1,1,19,30,0,0,0,4.5,5.5,978,93.32,65,3.4,0.15
2022,1,1,20,30,0,0,0,4.1,5.1,978,93.44,64,2.8,0.15
2022,1,1,21,30,0,0,0,3.9,4.8,978,93.6,50,2.8,0.15
2022,1,1,22,30,0,0,0,3.6,4.4,978,94.69,31,3.3,0.15
2022,1,1,23,30,0,0,0,3,3.8,978,94.42,27,4.2,0.15
2022,1,2,0,30,0,0,0,2.1,2.9,979,94.51,31,4.6,0.15
2022,1,2,1,30,0,0,0,1.1,2.2,979,92.31,32,4.8,0.15
2022,1,2,2,30,0,0,0,0.1,1.6,980,89.81,29,4.5,0.15
2022,1,2,3,30,0,0,0,-0.5,1.2,980,88.46,20,4,0.15
2022,1,2,4,30,0,0,0,-0.9,0.9,981,88.05,7,3.9,0.15
2022,1,2,5,30,0,0,0,-1.3,0.6,982,87.41,178,4.2,0.15
2022,1,2,6,30,0,0,0,-1.8,0,984,87.54,357,4.6,0.15
2022,1,2,7,30,0,0,0,-2.6,-0.6,985,86.45,180,4.7,0.15
2022,1,2,8,30,24,20,22,-3.3,-0.9,986,83.69,5,4.8,0.15
2022,1,2,9,30,70,29,45,-3.7,-0.5,987,78.76,9,4.9,0.15
2022,1,2,10,30,0,37,37,-3.8,0,988,75.47,7,4.9,0.15
2022,1,2,11,30,3,66,67,-3.9,0.3,989,73.62,181,4.8,0.15
2022,1,2,12,30,1,84,84,-4,0.5,989,71.93,359,4.8,0.15
2022,1,2,13,30,1,53,53,-4.1,0.5,990,71.09,181,4.8,0.15
2022,1,2,14,30,0,27,27,-4.4,0.2,990,71.41,6,4.9,0.15
2022,1,2,15,30,3,44,45,-4.7,-0.3,991,72.4,9,4.6,0.15
2022,1,2,16,30,0,28,28,-5,-1,992,74.54,6,4.2,0.15
2022,1,2,17,30,0,0,0,-5.1,-1.7,993,77.5,4,4.3,0.15
2022,1,2,18,30,0,0,0,-5.5,-2.4,994,79.36,6,4.3,0.15
2022,1,2,19,30,0,0,0,-6,-3.2,995,81.18,8,4,0.15
2022,1,2,20,30,0,0,0,-6.5,-4.1,995,83.59,10,3.9,0.15
2022,1,2,21,30,0,0,0,-6.9,-5,995,86.34,11,3.7,0.15
2022,1,2,22,30,0,0,0,-7.5,-5.5,995,86.01,12,3.6,0.15
2022,1,2,23,30,0,0,0,-8,-5.8,994,84.62,10,4.2,0.15
2022,1,3,0,30,0,0,0,-8.6,-6,994,81.6,7,4.5,0.15
2022,1,3,1,30,0,0,0,-9.1,-6,995,78.57,9,4.4,0.15
2022,1,3,2,30,0,0,0,-9.5,-6.3,995,78.01,9,4.3,0.15
2022,1,3,3,30,0,0,0,-9.9,-6.6,995,77.49,7,4.3,0.15
2022,1,3,4,30,0,0,0,-10.2,-6.8,996,76.82,6,4.1,0.15
2022,1,3,5,30,0,0,0,-10.4,-6.9,997,76.3,182,3.9,0.15
2022,1,3,6,30,0,0,0,-10.5,-7,997,76.27,356,3.8,0.15
2022,1,3,7,30,0,0,0,-10.4,-6.7,998,74.91,355,3.7,0.15
2022,1,3,8,30,491,24,63,-10.4,-5.6,999,69.01,184,3.8,0.15
2022,1,3,9,30,758,45,219,-10.6,-4,1000,60.06,13,3.9,0.15
2022,1,3,10,30,854,60,358,-10.3,-2.7,1000,55.75,12,3.5,0.15
2022,1,3,11,30,905,68,455,-9.7,-1.8,1000,54.92,179,3,0.15
2022,1,3,12,30,929,69,497,-9,-1.1,1000,54.82,341,2.5,0.15
2022,1,3,13,30,930,65,479,-8.5,-0.8,1000,55.85,324,2.2,0.15
2022,1,3,14,30,892,60,402,-8.2,-0.9,1000,57.55,305,1.9,0.15
2022,1,3,15,30,804,52,276,-8.1,-1.5,1000,60.74,283,1.5,0.15
2022,1,3,16,30,600,37,120,-7,-3,1000,73.92,262,1.1,0.15
2022,1,3,17,30,33,3,2,-7.4,-4.1,1001,77.59,249,1,0.15
2022,1,3,18,30,0,0,0,-7.4,-4.4,1001,79.43,242,1.2,0.15
2022,1,3,19,30,0,0,0,-7.2,-4.4,1001,80.52,239,1.3,0.15
2022,1,3,20,30,0,0,0,-7.1,-4.4,1001,81.37,238,1.4,0.15
2022,1,3,21,30,0,0,0,-7,-4.4,1001,82.16,236,1.5,0.15
2022,1,3,22,30,0,0,0,-6.9,-4.4,1001,82.98,231,1.5,0.15
2022,1,3,23,30,0,0,0,-6.7,-4.4,1001,83.77,224,1.4,0.15
2022,1,4,0,30,0,0,0,-6.7,-4.4,1000,84.28,216,1.5,0.15
2022,1,4,1,30,0,0,0,-6.6,-4.4,1000,84.64,207,1.6,0.15
2022,1,4,2,30,0,0,0,-6.6,-4.3,1000,84.15,198,1.7,0.15
2022,1,4,3,30,0,0,0,-6.6,-4.3,1000,83.99,192,2,0.15
2022,1,4,4,30,0,0,0,-6.7,-4.4,1000,84.1,187,2.4,0.15
2022,1,4,5,30,0,0,0,-6.7,-4.5,1000,84.43,183,2.7,0.15
2022,1,4,6,30,0,0,0,-6.7,-4.5,999,84.43,179,2.8,0.15
2022,1,4,7,30,0,0,0,-6.7,-4.3,999,83.38,175,3.1,0.15
