Month,Hour,Day,Temperature,GHI
1,0,15.5,-5.073333333333333,0.0
1,1,15.5,-5.27,0.0
1,2,15.5,-5.489999999999999,0.0
1,3,15.5,-5.716666666666667,0.0
1,4,15.5,-5.913333333333333,0.0
1,5,15.5,-6.073333333333333,0.0
1,6,15.5,-6.203333333333333,0.0
1,7,15.5,-5.983333333333333,0.0
1,8,15.5,-5.0633333333333335,52.333333333333336
1,9,15.5,-3.6733333333333333,165.66666666666666
1,10,15.5,-2.27,250.46666666666667
1,11,15.5,-1.1466666666666667,296.6
1,12,15.5,-0.41000000000000003,319.96666666666664
1,13,15.5,-0.050000000000000086,321.96666666666664
1,14,15.5,-0.11333333333333334,273.6
1,15,15.5,-0.6799999999999999,192.66666666666666
1,16,15.5,-1.7366666666666668,92.13333333333334
1,17,15.5,-2.7066666666666666,10.066666666666666
1,18,15.5,-3.31,0.0
1,19,15.5,-3.8333333333333335,0.0
1,20,15.5,-4.3566666666666665,0.0
1,21,15.5,-4.819999999999999,0.0
1,22,15.5,-5.17,0.0
1,23,15.5,-5.4433333333333325,0.0
2,0,15.5,-3.246666666666667,0.0
2,1,15.5,-3.353333333333333,0.0
2,2,15.5,-3.4633333333333334,0.0
2,3,15.5,-3.57,0.0
2,4,15.5,-3.6733333333333333,0.0
2,5,15.5,-3.8133333333333335,0.0
2,6,15.5,-3.9033333333333338,0.0
2,7,15.5,-3.3833333333333333,8.266666666666667
2,8,15.5,-2.01,100.36666666666666
2,9,15.5,-0.4033333333333333,214.93333333333334
2,10,15.5,1.0466666666666666,337.8
2,11,15.5,2.306666666666666,434.93333333333334
2,12,15.5,3.2233333333333336,474.76666666666665
2,13,15.5,3.7,454.3
2,14,15.5,3.7133333333333334,384.26666666666665
2,15,15.5,3.186666666666667,303.43333333333334
2,16,15.5,1.8933333333333333,185.13333333333333
2,17,15.5,0.18666666666666665,62.13333333333333
2,18,15.5,-0.92,0.5333333333333333
2,19,15.5,-1.4633333333333334,0.0
2,20,15.5,-1.9533333333333334,0.0
2,21,15.5,-2.3400000000000003,0.0
2,22,15.5,-2.58,0.0
2,23,15.5,-2.746666666666667,0.0
3,0,15.5,3.3133333333333335,0.0
3,1,15.5,3.07,0.0
3,2,15.5,2.8899999999999997,0.0
3,3,15.5,2.7666666666666666,0.0
3,4,15.5,2.7,0.0
3,5,15.5,2.606666666666667,0.0
3,6,15.5,2.953333333333333,0.9333333333333333
3,7,15.5,4.066666666666666,45.06666666666667
3,8,15.5,5.636666666666667,161.06666666666666
3,9,15.5,7.39,296.9
3,10,15.5,9.046666666666665,422.46666666666664
3,11,15.5,10.256666666666666,510.26666666666665
3,12,15.5,11.01,509.3333333333333
3,13,15.5,11.379999999999999,514.6
3,14,15.5,11.32,432.8333333333333
3,15,15.5,10.823333333333332,364.6666666666667
3,16,15.5,9.78,239.73333333333332
3,17,15.5,8.02,122.53333333333333
3,18,15.5,6.569999999999999,16.966666666666665
3,19,15.5,5.903333333333333,0.0
3,20,15.5,5.416666666666667,0.0
3,21,15.5,4.933333333333334,0.0
3,22,15.5,4.5,0.0
3,23,15.5,4.1466666666666665,0.0
4,0,15.5,6.716666666666667,0.0
4,1,15.5,6.276666666666667,0.0
4,2,15.5,5.906666666666666,0.0
4,3,15.5,5.65,0.0
4,4,15.5,5.3933333333333335,0.0
4,5,15.5,5.406666666666666,0.0
4,6,15.5,6.266666666666667,30.366666666666667
4,7,15.5,7.73,127.13333333333334
4,8,15.5,9.436666666666667,239.83333333333334
4,9,15.5,11.106666666666666,364.2
4,10,15.5,12.486666666666668,463.1333333333333
4,11,15.5,13.576666666666666,509.1
4,12,15.5,14.33,490.53333333333336
4,13,15.5,14.770000000000001,523.9333333333333
4,14,15.5,14.873333333333333,481.8333333333333
4,15,15.5,14.666666666666666,425.8333333333333
4,16,15.5,14.093333333333334,315.76666666666665
4,17,15.5,12.853333333333333,165.7
4,18,15.5,11.146666666666667,59.266666666666666
4,19,15.5,9.873333333333333,0.4
4,20,15.5,9.153333333333334,0.0
4,21,15.5,8.533333333333333,0.0
4,22,15.5,8.026666666666667,0.0
4,23,15.5,7.6,0.0
5,0,15.5,14.620000000000001,0.0
5,1,15.5,14.246666666666666,0.0
5,2,15.5,13.916666666666666,0.0
5,3,15.5,13.613333333333335,0.0
5,4,15.5,13.32,0.0
5,5,15.5,13.626666666666667,6.666666666666667
5,6,15.5,14.736666666666668,91.8
5,7,15.5,16.29,224.96666666666667
5,8,15.5,18.196666666666665,365.53333333333336
5,9,15.5,19.95,500.6666666666667
5,10,15.5,21.293333333333333,608.7666666666667
5,11,15.5,22.240000000000002,657.2
5,12,15.5,22.889999999999997,698.4666666666667
5,13,15.5,23.240000000000002,665.5333333333333
5,14,15.5,23.323333333333334,573.5666666666667
5,15,15.5,23.05666666666667,505.3
5,16,15.5,22.45,378.23333333333335
5,17,15.5,21.36,233.26666666666668
5,18,15.5,19.740000000000002,99.53333333333333
5,19,15.5,18.196666666666665,13.633333333333333
5,20,15.5,17.25,0.0
5,21,15.5,16.53666666666667,0.0
5,22,15.5,15.853333333333333,0.0
5,23,15.5,15.26,0.0
6,0,15.5,18.273333333333333,0.0
6,1,15.5,17.716666666666665,0.0
6,2,15.5,17.240000000000002,0.0
6,3,15.5,16.853333333333335,0.0
6,4,15.5,16.663333333333334,0.0
6,5,15.5,17.44333333333333,23.066666666666666
6,6,15.5,19.026666666666664,154.93333333333334
6,7,15.5,20.77,328.8333333333333
6,8,15.5,22.736666666666668,483.53333333333336
6,9,15.5,24.386666666666667,607.6
6,10,15.5,25.57,715.5333333333333
6,11,15.5,26.373333333333335,820.3333333333334
6,12,15.5,26.883333333333333,849.7666666666667
6,13,15.5,27.09,799.2333333333333
6,14,15.5,26.986666666666668,739.2666666666667
6,15,15.5,26.69,603.0333333333333
6,16,15.5,26.236666666666668,459.2
6,17,15.5,25.43,328.1
6,18,15.5,23.876666666666665,176.13333333333333
6,19,15.5,22.1,44.43333333333333
6,20,15.5,20.983333333333334,0.0
6,21,15.5,20.273333333333333,0.0
6,22,15.5,19.56,0.0
6,23,15.5,18.876666666666665,0.0
7,0,15.5,20.933333333333334,0.0
7,1,15.5,20.540000000000003,0.0
7,2,15.5,20.206666666666667,0.0
7,3,15.5,19.903333333333332,0.0
7,4,15.5,19.703333333333333,0.0
7,5,15.5,20.27,7.733333333333333
7,6,15.5,21.59,89.36666666666666
7,7,15.5,23.206666666666667,222.73333333333332
7,8,15.5,24.959999999999997,385.3666666666667
7,9,15.5,26.333333333333332,523.4666666666667
7,10,15.5,27.256666666666668,594.0666666666667
7,11,15.5,27.903333333333332,668.2666666666667
7,12,15.5,28.353333333333335,720.8666666666667
7,13,15.5,28.583333333333332,705.3
7,14,15.5,28.603333333333335,660.6
7,15,15.5,28.41,568.2
7,16,15.5,28.02,426.5
7,17,15.5,27.246666666666666,283.1666666666667
7,18,15.5,25.75,141.43333333333334
7,19,15.5,24.11,36.666666666666664
7,20,15.5,23.09333333333333,0.0
7,21,15.5,22.403333333333332,0.0
7,22,15.5,21.82,0.0
7,23,15.5,21.31,0.0
8,0,15.5,20.009999999999998,0.0
8,1,15.5,19.61,0.0
8,2,15.5,19.243333333333332,0.0
8,3,15.5,18.896666666666665,0.0
8,4,15.5,18.55666666666667,0.0
8,5,15.5,18.84333333333333,0.06666666666666667
8,6,15.5,20.136666666666667,60.266666666666666
8,7,15.5,22.083333333333332,217.66666666666666
8,8,15.5,24.31,354.8333333333333
8,9,15.5,26.133333333333333,522.1666666666666
8,10,15.5,27.34333333333333,605.8333333333334
8,11,15.5,28.153333333333332,678.0666666666667
8,12,15.5,28.64333333333333,725.3
8,13,15.5,28.866666666666667,698.1333333333333
8,14,15.5,28.84,608.9666666666667
8,15,15.5,28.553333333333335,517.7333333333333
8,16,15.5,27.926666666666666,396.03333333333336
8,17,15.5,26.71333333333333,257.06666666666666
8,18,15.5,24.68,108.1
8,19,15.5,22.933333333333334,6.633333333333334
8,20,15.5,22.076666666666664,0.0
8,21,15.5,21.413333333333334,0.0
8,22,15.5,20.836666666666666,0.0
8,23,15.5,20.363333333333333,0.0
9,0,15.5,16.1,0.0
9,1,15.5,15.66,0.0
9,2,15.5,15.276666666666667,0.0
9,3,15.5,14.943333333333333,0.0
9,4,15.5,14.66,0.0
9,5,15.5,14.53,0.0
9,6,15.5,15.283333333333333,13.966666666666667
9,7,15.5,17.033333333333335,130.4
9,8,15.5,19.456666666666667,294.1333333333333
9,9,15.5,21.913333333333334,457.4
9,10,15.5,23.55666666666667,553.2666666666667
9,11,15.5,24.623333333333335,607.7333333333333
9,12,15.5,25.33,606.9666666666667
9,13,15.5,25.66,596.0333333333333
