PRODUCTS,Category
Ethyl Alcohol Manufacturing,Chemicals Dryer
Float Glass,Glass Furnace
Acrylonitrile-Butadiene-Styrene (ABS) and Stryene-Acrylonitrile (SAN),Chemicals Dryer
Aluminum,Vehicle Manufacturing Oven
"Acrylonitrile, Acetonitrile, Hydrogen Cyanide ",Chemicals Dryer
aluminum extruded products,Vehicle Manufacturing Oven
Lubricant Additives,Chemicals Dryer
glass bottles,Glass Furnace
Aluminum Wheels,Vehicle Manufacturing Oven
felt for shingles,Uncategorized
Steel Processing ,Vehicle Manufacturing Oven
Laundry Equipment,Uncategorized
Plumbing Products,Chemicals Dryer
Hot dip galvannealed coiled steel sheet,Vehicle Manufacturing Oven
MOLDED INDUS. GLASS ITEM,Glass Furnace
Titanium Mill: Flat and Billet,Vehicle Manufacturing Oven
PAPERBOARD,Uncategorized
Coated Steel,Vehicle Manufacturing Oven
Aluminum Castings,Vehicle Manufacturing Oven
"Potato Chips, Corn Chips, and Similar Snacks",F&D Boiler
Quartz Tubing and Shapes,Glass Furnace
ORGANIC CHEMICALS,Chemicals Dryer
High Pressure Die-Cast Aluminum Automotive Parts,Vehicle Manufacturing Oven
Truck Assembly / Painting,Vehicle Manufacturing Oven
Metal Based Chemicals,Chemicals Dryer
Steel Castings,Vehicle Manufacturing Oven
toilet paper and paper towels,Uncategorized
Bacon,F&D Boiler
Pharmaceutical Manufacturing and Development,Uncategorized
"Bread, Cake, and Related Products & Cookies and Crackers",F&D Boiler
aluminum wheels,Vehicle Manufacturing Oven
Truck Cab / Painted Cabs / Trucks,Vehicle Manufacturing Oven
Power transmission parts and steel die forgings,Vehicle Manufacturing Oven
Lawn Equipment,Uncategorized
Die-Cast Aluminum Automotive Parts,Vehicle Manufacturing Oven
Meat Packing,F&D Boiler
Flavors,Uncategorized
Pet's food,F&D Boiler
FORGED PRODUCTS,Chemicals Dryer
SPECIALTY CHEMICALS,Chemicals Dryer
Automobile Parts and Accessories/Appliance Products,Chemicals Dryer
Silicon Powder,Chemicals Dryer
Aluminum Sand Castings,Vehicle Manufacturing Oven
Pork Rinds,F&D Boiler
Powertrain components,Vehicle Manufacturing Oven
"Aluminum cylinder heads, pistons and water passages",Vehicle Manufacturing Oven
organic chemicals,Chemicals Dryer
"Steel forging, rough machining, and heat treating",Vehicle Manufacturing Oven
"Hydrotope, sulfonic acids",Chemicals Dryer
ALUMINUM BILLETS,Vehicle Manufacturing Oven
Aluminum beverage cans,F&D Boiler
