FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category,H2_required,el_size_approx,NG_usd_per_mmbtu,NG_usd_per_kwh
2022,2869,62,Ethyl Alcohol Manufacturing,8400,9579013,3438471,3.63E+15,1007716376,119966.2352,119.9662352,Chemicals_Dryer,30234514.73,156.0029066,0.358958799,0.009505664
2015,3211,200,Float Glass,8760,13139464,2657692,2.8E+15,778892638.6,88914.68477,88.91468477,Glass_Furnace,23369116.07,115.6237773,0.202267916,0.016869416
2015,2821,300,Acrylonitrile-Butadiene-Styrene (ABS) and Stryene-Acrylonitrile (SAN),8568,5053854,1021684,1.08E+15,299426023.3,34947.01485,34.94701485,Chemicals_Dryer,8983679.067,45.44475273,0.202159382,0.016878473
2013,3341,125,Aluminum,8400,3011174,977916,1.03E+15,286598888.7,34118.91532,34.11891532,Metal_Oven,8598826.544,44.36790029,0.324762368,0.010506579
2017,2869,300,"Acrylonitrile, Acetonitrile, Hydrogen Cyanide ",7140,2136481,718509,7.58E+14,210574201.6,29492.18509,29.49218509,Chemicals_Dryer,6317857.834,38.35134602,0.336304886,0.010145977
2007,3354,240,aluminum extruded products,7200,5390091,702737,7.41E+14,205951884.6,28604.42842,28.60442842,Metal_Oven,6179174.455,37.19691602,0.130375721,0.026171603
2006,2869,240,Lubricant Additives,8736,6796310,609330,6.43E+14,178576995.2,20441.50586,20.44150586,Chemicals_Dryer,5357845.641,26.5819322,0.089656005,0.03805815
1994,3221,300,glass bottles,8400,1443800,525000,5.54E+14,153862311.8,18316.94189,18.31694189,Glass_Furnace,4616330.987,23.81917021,0.363623771,0.009383714
2006,3363,450,Aluminum Wheels,8400,4769861,470132,4.96E+14,137782088.4,16402.62957,16.40262957,Metal_Oven,4133876.04,21.32981739,0.09856304,0.034618876
2017,3325,115,Steel Processing ,8568,1330657,395197,4.17E+14,115820807.7,13517.8347,13.5178347,Metal_Oven,3474971.728,17.57845865,0.296993891,0.011488929
2020,3261,560,Plumbing Products,8760,1304381.65,387640,4.09E+14,113606069.6,12968.72941,12.96872941,Chemicals_Dryer,3408522.94,16.86440756,0.29718296,0.011481619
2009,3312,100,Hot dip galvannealed coiled steel sheet,8400,3011389,386302,4.08E+14,113213940.5,13477.85007,13.47785007,Metal_Oven,3396757.891,17.52646303,0.128280338,0.026599101
1984,3229,140,MOLDED INDUS. GLASS ITEM,6000,1867687,380185,4.01E+14,111421224.8,18570.20414,18.57020414,Glass_Furnace,3342971.041,24.14850993,0.203559269,0.016762399
2015,3441,600,Titanium Mill: Flat and Billet,8760,2037726,376776,3.98E+14,110422145.5,12605.26776,12.60526776,Metal_Oven,3312995.665,16.39176562,0.184900227,0.018453961
2003,3479,100,Coated Steel,6000,1667875,363722,3.84E+14,106596395.8,17766.06596,17.76606596,Metal_Oven,3198211.695,23.10281659,0.218075096,0.015646636
2003,3365,204,Aluminum Castings,7200,257124,354584,3.74E+14,103918312.3,14433.09894,14.43309894,Metal_Oven,3117861.155,18.76865922,1.379038907,0.00247429
2003,3365,204,Aluminum Castings,7200,257124,354584,3.74E+14,103918312.3,14433.09894,14.43309894,Metal_Oven,3117861.155,18.76865922,1.379038907,0.00247429
2003,3365,204,Aluminum Castings,7200,257124,354584,3.74E+14,103918312.3,14433.09894,14.43309894,Metal_Oven,3117861.155,18.76865922,1.379038907,0.00247429
2024,2096,439,"Potato Chips, Corn Chips, and Similar Snacks",8760,1651974,343422,3.62E+14,100647053.1,11489.38962,11.48938962,FD_Boiler,3019713.564,14.94068871,0.207885838,0.016413536
2014,3297,200,Quartz Tubing and Shapes,4080,1449071,334048,3.52E+14,97899804.85,23995.05021,23.99505021,Glass_Furnace,2937287.874,31.20292615,0.230525626,0.014801572
1991,2869,350,ORGANIC CHEMICALS,8736,1048836,311928,3.29E+14,91417072.78,10464.40851,10.46440851,Chemicals_Dryer,2742786.462,13.60781341,0.297403979,0.011473087
2016,3363,907,High Pressure Die-Cast Aluminum Automotive Parts,7200,2310727,308045,3.25E+14,90279077.81,12538.76081,12.53876081,Metal_Oven,2708643.199,16.30528064,0.133310858,0.025595377
2022,3711,824,Truck Assembly / Painting,1920,1491675,288972,3.05E+14,84689333.29,44109.02776,44.10902776,Metal_Oven,2540934.092,57.35894377,0.193723164,0.017613493
2006,2819,178,Metal Based Chemicals,7200,2583383,284236,3E+14,83301348.7,11569.63176,11.56963176,Chemicals_Dryer,2499290.39,15.0450348,0.110024723,0.031012499
2006,3325,900,Steel Castings,6600,2871038,272175,2.87E+14,79766618.52,12085.85129,12.08585129,Metal_Oven,2393237.879,15.71632157,0.094800208,0.035992976
2020,2013,600,Bacon,6205,943905,263756,2.78E+14,77299253.18,12457.57505,12.45757505,FD_Boiler,2319209.516,16.19970748,0.279430663,0.012211049
