FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category
2022.0,2869.0,62.0,Ethyl Alcohol Manufacturing,8400.0,9579013.0,3438471.0,3630000000000000.0,1007716376.0,119966.2352,119.9662352,Chemicals Dryer
2015.0,3211.0,200.0,Float Glass,8760.0,13139464.0,2657692.0,2800000000000000.0,778892638.6,88914.68477,88.91468477,Glass Furnace
2015.0,2821.0,300.0,Acrylonitrile-Butadiene-Styrene (ABS) and Stryene-Acrylonitrile (SAN),8568.0,5053854.0,1021684.0,1080000000000000.0,299426023.3,34947.01485,34.94701485,Chemicals Dryer
2013.0,3341.0,125.0,Aluminum,8400.0,3011174.0,977916.0,1030000000000000.0,286598888.7,34118.91532,34.11891532,Vehicle Manufacturing Oven
2017.0,2869.0,300.0,"Acrylonitrile, Acetonitrile, Hydrogen Cyanide ",7140.0,2136481.0,718509.0,758000000000000.0,210574201.6,29492.18509,29.49218509,Chemicals Dryer
2007.0,3354.0,240.0,aluminum extruded products,7200.0,5390091.0,702737.0,741000000000000.0,205951884.6,28604.42842,28.60442842,Vehicle Manufacturing Oven
2006.0,2869.0,240.0,Lubricant Additives,8736.0,6796310.0,609330.0,643000000000000.0,178576995.2,20441.50586,20.44150586,Chemicals Dryer
1994.0,3221.0,300.0,glass bottles,8400.0,1443800.0,525000.0,554000000000000.0,153862311.8,18316.94189,18.31694189,Glass Furnace
2006.0,3363.0,450.0,Aluminum Wheels,8400.0,4769861.0,470132.0,496000000000000.0,137782088.4,16402.62957,16.40262957,Vehicle Manufacturing Oven
2017.0,3325.0,115.0,Steel Processing ,8568.0,1330657.0,395197.0,417000000000000.0,115820807.7,13517.8347,13.5178347,Vehicle Manufacturing Oven
2020.0,3261.0,560.0,Plumbing Products,8760.0,1304381.65,387640.0,409000000000000.0,113606069.6,12968.72941,12.96872941,Chemicals Dryer
2009.0,3312.0,100.0,Hot dip galvannealed coiled steel sheet,8400.0,3011389.0,386302.0,408000000000000.0,113213940.5,13477.85007,13.47785007,Vehicle Manufacturing Oven
1984.0,3229.0,140.0,MOLDED INDUS. GLASS ITEM,6000.0,1867687.0,380185.0,401000000000000.0,111421224.8,18570.20414,18.57020414,Glass Furnace
2015.0,3441.0,600.0,Titanium Mill: Flat and Billet,8760.0,2037726.0,376776.0,398000000000000.0,110422145.5,12605.26776,12.60526776,Vehicle Manufacturing Oven
2003.0,3479.0,100.0,Coated Steel,6000.0,1667875.0,363722.0,384000000000000.0,106596395.8,17766.06596,17.76606596,Vehicle Manufacturing Oven
2003.0,3365.0,204.0,Aluminum Castings,7200.0,257124.0,354584.0,374000000000000.0,103918312.3,14433.09894,14.43309894,Vehicle Manufacturing Oven
2003.0,3365.0,204.0,Aluminum Castings,7200.0,257124.0,354584.0,374000000000000.0,103918312.3,14433.09894,14.43309894,Vehicle Manufacturing Oven
2003.0,3365.0,204.0,Aluminum Castings,7200.0,257124.0,354584.0,374000000000000.0,103918312.3,14433.09894,14.43309894,Vehicle Manufacturing Oven
2024.0,2096.0,439.0,"Potato Chips, Corn Chips, and Similar Snacks",8760.0,1651974.0,343422.0,362000000000000.0,100647053.1,11489.38962,11.48938962,F&D Boiler
2014.0,3297.0,200.0,Quartz Tubing and Shapes,4080.0,1449071.0,334048.0,352000000000000.0,97899804.85,23995.05021,23.99505021,Glass Furnace
1991.0,2869.0,350.0,ORGANIC CHEMICALS,8736.0,1048836.0,311928.0,329000000000000.0,91417072.78,10464.40851,10.46440851,Chemicals Dryer
2016.0,3363.0,907.0,High Pressure Die-Cast Aluminum Automotive Parts,7200.0,2310727.0,308045.0,325000000000000.0,90279077.81,12538.76081,12.53876081,Vehicle Manufacturing Oven
2022.0,3711.0,824.0,Truck Assembly / Painting,1920.0,1491675.0,288972.0,305000000000000.0,84689333.29,44109.02776,44.10902776,Vehicle Manufacturing Oven
2006.0,2819.0,178.0,Metal Based Chemicals,7200.0,2583383.0,284236.0,300000000000000.0,83301348.7,11569.63176,11.56963176,Chemicals Dryer
2006.0,3325.0,900.0,Steel Castings,6600.0,2871038.0,272175.0,287000000000000.0,79766618.52,12085.85129,12.08585129,Vehicle Manufacturing Oven
2020.0,2013.0,600.0,Bacon,6205.0,943905.0,263756.0,278000000000000.0,77299253.18,12457.57505,12.45757505,F&D Boiler
2020.0,2013.0,600.0,Bacon,6205.0,943905.0,263756.0,278000000000000.0,77299253.18,12457.57505,12.45757505,F&D Boiler
2016.0,2051.0,550.0,"Bread, Cake, and Related Products & Cookies and Crackers",8568.0,1621970.0,250019.0,264000000000000.0,73273335.89,8551.976645,8.551976645,F&D Boiler
1996.0,3714.0,230.0,aluminum wheels,8000.0,688303.0,240300.0,254000000000000.0,70424978.16,8803.12227,8.80312227,Vehicle Manufacturing Oven
2013.0,3711.0,824.0,Truck Cab / Painted Cabs / Trucks,1920.0,855370.0,236758.0,250000000000000.0,69386920.43,36139.02106,36.13902106,Vehicle Manufacturing Oven
2003.0,3462.0,250.0,Power transmission parts and steel die forgings,2000.0,1204244.0,236191.0,249000000000000.0,69220749.14,34610.37457,34.61037457,Vehicle Manufacturing Oven
2022.0,3363.0,907.0,Die-Cast Aluminum Automotive Parts,7200.0,904985.0,233438.0,246000000000000.0,68413924.48,9501.933955,9.501933955,Vehicle Manufacturing Oven
2009.0,2013.0,600.0,Meat Packing,6864.0,2628320.0,219397.0,231000000000000.0,64298913.58,9367.55734,9.36755734,F&D Boiler
2022.0,2048.0,163.0,Pet's food,6000.0,973761.0,206055.0,217000000000000.0,60388759.36,10064.79323,10.06479323,F&D Boiler
1982.0,3462.0,50.0,FORGED PRODUCTS,4000.0,736592.0,196217.0,207000000000000.0,57505526.18,14376.38154,14.37638154,Chemicals Dryer
1988.0,2819.0,100.0,SPECIALTY CHEMICALS,8000.0,695535.0,193582.0,204000000000000.0,56733283.91,7091.660488,7.091660488,Chemicals Dryer
2005.0,3444.0,600.0,Automobile Parts and Accessories/Appliance Products,8112.0,1405144.0,187528.0,198000000000000.0,54959031.65,6775.028556,6.775028556,Chemicals Dryer
1996.0,2899.0,80.0,Silicon Powder,8600.0,649094.0,184187.0,194000000000000.0,53979881.2,6276.730372,6.276730372,Chemicals Dryer
2008.0,3714.0,218.0,Aluminum Sand Castings,7200.0,1400000.0,175000.0,185000000000000.0,51287437.28,7123.255178,7.123255178,Vehicle Manufacturing Oven
2008.0,2013.0,150.0,Pork Rinds,6000.0,1735598.0,173712.0,183000000000000.0,50909961.74,8484.993624,8.484993624,F&D Boiler
2018.0,3714.0,189.0,Powertrain components,6912.0,629107.0,172588.0,182000000000000.0,50580549.86,7317.787885,7.317787885,Vehicle Manufacturing Oven
