FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW
2022.0,2869.0,62.0,Ethyl Alcohol Manufacturing,8400.0,9579013.0,3438471.0,3630000000000000.0,1007716376.0,119966.2352,119.9662352
2015.0,3211.0,200.0,Float Glass,8760.0,13139464.0,2657692.0,2800000000000000.0,778892638.6,88914.68477,88.91468477
2015.0,2821.0,300.0,Acrylonitrile-Butadiene-Styrene (ABS) and Stryene-Acrylonitrile (SAN),8568.0,5053854.0,1021684.0,1080000000000000.0,299426023.3,34947.01485,34.94701485
2013.0,3341.0,125.0,Aluminum,8400.0,3011174.0,977916.0,1030000000000000.0,286598888.7,34118.91532,34.11891532
2017.0,2869.0,300.0,"Acrylonitrile, Acetonitrile, Hydrogen Cyanide ",7140.0,2136481.0,718509.0,758000000000000.0,210574201.6,29492.18509,29.49218509
2007.0,3354.0,240.0,aluminum extruded products,7200.0,5390091.0,702737.0,741000000000000.0,205951884.6,28604.42842,28.60442842
2006.0,2869.0,240.0,Lubricant Additives,8736.0,6796310.0,609330.0,643000000000000.0,178576995.2,20441.50586,20.44150586
1994.0,3221.0,300.0,glass bottles,8400.0,1443800.0,525000.0,554000000000000.0,153862311.8,18316.94189,18.31694189
2006.0,3363.0,450.0,Aluminum Wheels,8400.0,4769861.0,470132.0,496000000000000.0,137782088.4,16402.62957,16.40262957
1996.0,2621.0,54.0,felt for shingles,8500.0,1000529.0,400212.0,422000000000000.0,117290559.1,13798.88931,13.79888931
2017.0,3325.0,115.0,Steel Processing ,8568.0,1330657.0,395197.0,417000000000000.0,115820807.7,13517.8347,13.5178347
2021.0,3633.0,3200.0,Laundry Equipment,6000.0,1046091.1,391253.3891,413000000000000.0,114665049.4,19110.84157,19.11084157
2020.0,3261.0,560.0,Plumbing Products,8760.0,1304381.65,387640.0,409000000000000.0,113606069.6,12968.72941,12.96872941
2009.0,3312.0,100.0,Hot dip galvannealed coiled steel sheet,8400.0,3011389.0,386302.0,408000000000000.0,113213940.5,13477.85007,13.47785007
1984.0,3229.0,140.0,MOLDED INDUS. GLASS ITEM,6000.0,1867687.0,380185.0,401000000000000.0,111421224.8,18570.20414,18.57020414
2015.0,3441.0,600.0,Titanium Mill: Flat and Billet,8760.0,2037726.0,376776.0,398000000000000.0,110422145.5,12605.26776,12.60526776
1988.0,2631.0,120.0,PAPERBOARD,8472.0,952116.0,374435.0,395000000000000.0,109736066.2,12952.79346,12.95279346
2003.0,3479.0,100.0,Coated Steel,6000.0,1667875.0,363722.0,384000000000000.0,106596395.8,17766.06596,17.76606596
2003.0,3365.0,204.0,Aluminum Castings,7200.0,257124.0,354584.0,374000000000000.0,103918312.3,14433.09894,14.43309894
2024.0,2096.0,439.0,"Potato Chips, Corn Chips, and Similar Snacks",8760.0,1651974.0,343422.0,362000000000000.0,100647053.1,11489.38962,11.48938962
2014.0,3297.0,200.0,Quartz Tubing and Shapes,4080.0,1449071.0,334048.0,352000000000000.0,97899804.85,23995.05021,23.99505021
1991.0,2869.0,350.0,ORGANIC CHEMICALS,8736.0,1048836.0,311928.0,329000000000000.0,91417072.78,10464.40851,10.46440851
2016.0,3363.0,907.0,High Pressure Die-Cast Aluminum Automotive Parts,7200.0,2310727.0,308045.0,325000000000000.0,90279077.81,12538.76081,12.53876081
2022.0,3711.0,824.0,Truck Assembly / Painting,1920.0,1491675.0,288972.0,305000000000000.0,84689333.29,44109.02776,44.10902776
2006.0,2819.0,178.0,Metal Based Chemicals,7200.0,2583383.0,284236.0,300000000000000.0,83301348.7,11569.63176,11.56963176
2006.0,3325.0,900.0,Steel Castings,6600.0,2871038.0,272175.0,287000000000000.0,79766618.52,12085.85129,12.08585129
1996.0,2621.0,150.0,toilet paper and paper towels,8500.0,731000.0,265840.0,280000000000000.0,77910013.29,9165.883917,9.165883917
2020.0,2013.0,600.0,Bacon,6205.0,943905.0,263756.0,278000000000000.0,77299253.18,12457.57505,12.45757505
2014.0,2834.0,620.0,Pharmaceutical Manufacturing and Development,8760.0,1335397.0,261044.0,275000000000000.0,76504444.44,8733.384069,8.733384069
2016.0,2051.0,550.0,"Bread, Cake, and Related Products & Cookies and Crackers",8568.0,1621970.0,250019.0,264000000000000.0,73273335.89,8551.976645,8.551976645
1996.0,3714.0,230.0,aluminum wheels,8000.0,688303.0,240300.0,254000000000000.0,70424978.16,8803.12227,8.80312227
2013.0,3711.0,824.0,Truck Cab / Painted Cabs / Trucks,1920.0,855370.0,236758.0,250000000000000.0,69386920.43,36139.02106,36.13902106
