Year,Month,Day,Hour,Minute,DNI,DHI,GHI,DewPoint,Temperature,Pressure,RelativeHumidity,WindDirection,WindSpeed,SurfaceAlbedo
2022,1,1,0,30,0,0,0,14.1,14.4,979,97.78,235,4.5,0.15
2022,1,1,1,30,0,0,0,14.2,14.6,979,97.39,238,4.9,0.15
2022,1,1,2,30,0,0,0,14.1,14.4,980,97.87,241,4.6,0.15
2022,1,1,3,30,0,0,0,13.4,13.4,979,99.8,240,3.2,0.15
2022,1,1,4,30,0,0,0,12.1,12.1,978,100,240,1.9,0.15
2022,1,1,5,30,0,0,0,11.5,11.5,979,100,240,1.9,0.15
2022,1,1,6,30,0,0,0,11.4,11.4,980,100,240,2.1,0.15
2022,1,1,7,30,0,0,0,11.2,11.2,980,100,244,2,0.15
2022,1,1,8,30,0,7,7,11.2,11.4,980,98.92,258,1.9,0.15
2022,1,1,9,30,0,5,5,11.2,11.7,980,96.48,278,1.8,0.15
2022,1,1,10,30,0,11,11,11.2,11.9,980,95.64,289,1.9,0.15
2022,1,1,11,30,0,28,28,11.1,12,979,94.13,286,1.6,0.15
2022,1,1,12,30,0,17,17,11.2,12,979,94.61,300,1.6,0.15
2022,1,1,13,30,0,25,25,11.1,11.7,978,96.04,160,2.1,0.15
2022,1,1,14,30,0,36,36,10.5,11,977,97.03,7,2.7,0.15
2022,1,1,15,30,0,18,18,9.8,9.8,977,99.68,14,3.7,0.15
2022,1,1,16,30,1,18,18,8.2,8.4,978,98.99,26,4.2,0.15
2022,1,1,17,30,0,0,0,6.7,7.1,978,97.35,42,4,0.15
2022,1,1,18,30,0,0,0,5.5,6.1,978,95.66,56,4,0.15
2022,1,1,19,30,0,0,0,4.5,5.5,978,93.32,65,3.4,0.15
2022,1,1,20,30,0,0,0,4.1,5.1,978,93.44,64,2.8,0.15
2022,1,1,21,30,0,0,0,3.9,4.8,978,93.6,50,2.8,0.15
2022,1,1,22,30,0,0,0,3.6,4.4,978,94.69,31,3.3,0.15
2022,1,1,23,30,0,0,0,3,3.8,978,94.42,27,4.2,0.15
